Month,Active Players,New Players,Proposals,Names
2007-08,21,4,73,"90000, aaronwinborn, alethiophile, Amnistar, banana, BobTHJ, Brendan, Chivalrybean, ChronosPhaenon, Clucky, Darknight, Elias IX, Hix, Icarus, Josh, Kevan, Oracular rufio, Scaramouche, Shane, snowballinhell7001, Zephyr"
2007-09,14,1,42,"75th Trombone, aaronwinborn, alethiophile, Chivalrybean, Clucky, Darknight, Glutama, Hix, Josh, Kevan, Oracular rufio, Scaramouche, snowballinhell7001, Zephyr"
2007-10,21,4,104,"aaronwinborn, Amnistar, BobTHJ, Brendan, Bucky, Chivalrybean, Clucky, Darknight, Dr Zed, Hix, Hockeyruler, Igthorn, Kevan, Oracular rufio, Rodlen, Rodney, Shadowclaw, spikebrennan, Tesla4D, Tiberias, Zaratustra"
2007-11,21,2,128,"aaronwinborn, Amnistar, Bahro, BobTHJ, Brendan, Bucky, Call for Judgment, Chivalrybean, Clucky, Darknight, Elias IX, Hix, Icarus, Josh, Kevan, Oracular rufio, Rodlen, Rodney, spikebrennan, Tiberias, Yoda"
2007-12,14,2,28,"aaronwinborn, Amnistar, Bahro, Chivalrybean, Clucky, Elias IX, Hix, Jack, Josh, Rodlen, sixsidepentagon, spikebrennan, Yoda, Zephyr"
2008-01,17,3,51,"aaronwinborn, Cascadia, Chivalrybean, Clucky, Darknight, Iammars, Igthorn, Jack, jmrdex, Kevan, Night, Rodlen, Seventy-Fifth Trombone, sixsidepentagon, spikebrennan, Yoda, Zephyr"
2008-02,10,2,20,"aaronwinborn, arthexis, Chivalrybean, Clucky, Darknight, Jack, Rodlen, Sheelawolf, spikebrennan, Yoda"
2008-03,26,9,110,"aaronwinborn, ajhager, alethiophile, arthexis, Bucky, Chivalrybean, Clucky, Darknight, Dustin, gr4nf, Iammars, Jacek_FH, Jack, JoshuaGross, Kevan, Logan, Lugosh, LykeX, mistarrr oconnell, Night, Oze, Purplebeard, Rodlen, spikebrennan, Tekneek, Yoda"
2008-04,23,6,108,"90000, aaronwinborn, arthexis, Beane, Bucky, Chivalrybean, Darknight, dogfish, Dustin, Grey, jay, jmrdex, Josh, Kevan, Masked Jedi, Ornithopter, Oze, Purplebeard, Rodlen, Soyweiser, spikebrennan, Yoda, your mother"
2008-05,15,3,89,"Amnistar, arthexis, Call for Judgment, captpir8, Darknight, Devenger, jay, jmrdex, Kevan, Ornithopter, Oze, Purplebeard, Rodlen, Tavros, Yoda"
2008-06,10,1,44,"Amnistar, arthexis, Darknight, Devenger, jay, Kevan, Oze, Rodlen, Yoda, Zeofar"
2008-07,16,2,84,"Amnistar, arthexis, Bucky, Call for Judgment, Chivalrybean, Clucky, Darknight, Devenger, Dustin, jay, Oze, Rodlen, Seeking, tusho, Yoda, Zeofar"
2008-08,16,4,31,"75th Trombone, Ambi Valent, Amnistar, arthexis, Beane, Bucky, Chivalrybean, Clucky, Darknight, Oni Tainlyn, Oze, Qapmoc, Quazie, Thrawn, vostibackle, Yoda"
2008-09,18,3,58,"Ambi Valent, Amnistar, arthexis, Bucky, Call for Judgment, Clucky, Darknight, jmrdex, Joe, Oze, Qapmoc, Rodney, SPBM, spikebrennan, Thrawn, TrumanCapote, tusho, Xaxyx"
