Month,Active Players,New Players,Proposals,Names
2015-02,20,2,106,"75th Trombone, ais523, ayesdeeef, Brendan, Bucky, Darknight, Dresdom, Josh, Kevan, Maldor, mideg, Murphy, Purplebeard, Put, RaichuKFM, Skju, Sphinx, Sylphrena, Teninten, _Fox_"
2015-03,16,2,103,"ayesdeeef, Brendan, Bucky, Darknight, Ely, Joe Pail, Josh, Kevan, Maldor, mideg, Murphy, Purplebeard, stadjer, Sylphrena, Teninten, _Fox_"
2015-04,9,2,51,"Brendan, Ely, exploto, Josh, Kevan, Maldor, mideg, severian, Sylphrena"
2015-05,8,2,36,"Brendan, dfp, Goosberry, Josh, Kevan, mideg, Sylphrena, WildCard"
2015-06,7,1,50,"Brendan, Josh, Kevan, mideg, Sylphrena, Tantusar, Tekneek"
2015-07,8,0,73,"ais523, Brendan, Darknight, Ienpw III, Josh, Kevan, Purplebeard, Tantusar"
2015-08,12,4,73,"75th Trombone, Aname, Darknight, Evo, Ienpw III, Josh, Kevan, Lynx, Purplebeard, ShareDVI, Tantusar, Winner"
2015-09,9,1,37,"ais523, ayesdeeef, Josh, Kevan, Purplebeard, ShareDVI, Tantusar, Thrawn, username5243"
2015-10,14,3,62,"75th Trombone, ais523, Aname, ayesdeeef, Brendan, delcooper11, Elias IX, Josh, Kevan, Purplebeard, Roberto, Tantusar, TazakiTsukuru, Thrawn"
2015-11,6,1,49,"Aname, archon, Brendan, Josh, Kevan, quirck"
2015-12,9,0,51,"archon, Brendan, Josh, Kevan, Murphy, quirck, RaichuKFM, ShareDVI, Tantusar"
2016-01,8,1,33,"75th Trombone, Aname, ayesdeeef, Casper, Kevan, lilomar, moonroof, quirck"
2016-02,11,3,25,"75th Trombone, Brendan, Casper, Cheshire, Larrytheturtle, lilomar, moonroof, Other Brother, PigheadedGnu, quirck, RaichuKFM"
2016-03,8,1,43,"Brendan, Clucky, GenericPerson, IceFromHell, Kevan, Larrytheturtle, quirck, RaichuKFM"
2016-04,5,0,34,"Brendan, Clucky, GenericPerson, IceFromHell, Kevan"
2016-05,9,0,41,"Aname, Brendan, Bucky, Clucky, Josh, Kevan, Larrytheturtle, quirck, Spitemaster"
2016-06,9,1,57,"Aft3rwards, Brendan, Bucky, Clucky, GenericPerson, Kevan, Larrytheturtle, qwertyu63, RaichuKFM"
2016-07,10,3,57,"Brendan, Bucky, Clucky, GenericPerson, Izzoboetam, Larrytheturtle, qwertyu63, RaichuKFM, ryagami, Sci_Guy12"
2016-08,14,3,73,"Aft3rwards, Aname, ayesdeeef, Brendan, Bucky, Clucky, Gaelan, Goldenpants, Kevan, Larrytheturtle, Matt, qwertyu63, RaichuKFM, Sci_Guy12"
2016-09,13,3,35,"Aft3rwards, Aname, Brendan, Josh, Kevan, Matt, Quincunx, qwertyu63, RaichuKFM, Sci_Guy12, ShareDVI, thesunneversets, Viv"
2016-10,4,0,33,"Brendan, Kevan, Matt, Quincunx"
2016-11,10,0,36,"ayesdeeef, Brendan, Bucky, gazebo_dude, Kevan, Matt, Quincunx, Sci_Guy12, ShareDVI, southpointingchariot"
2016-12,8,1,27,"75th Trombone, Brendan, Bucky, Kevan, Matt, Phildor, Viv, Zaratustra"
2017-01,6,2,28,"Cuddlebeam, Kevan, Matt, pokes, Quincunx, Viv"
2017-02,10,3,57,"card, Cuddlebeam, derrick, Kevan, Matt, orkboi, pokes, Quincunx, quirck, Viv"
2017-03,11,0,106,"arthexis, card, Cuddlebeam, derrick, Kevan, Matt, Oracular rufio, orkboi, pokes, quirck, Viv"
2017-04,14,2,85,"arthexis, card, Crumb, Cuddlebeam, derrick, Maldor, Matt, Oracular rufio, orkboi, pokes, Publius Scribonius Scholasticus, Quincunx, Ryntai, Viv"
2017-05,12,1,72,"card, Cpt_Koen, Cuddlebeam, duck, Gaelan, Kevan, Matt, Oracular rufio, orkboi, pokes, Publius Scribonius Scholasticus, Sphinx"
2017-06,10,1,79,"card, Cpt_Koen, Cuddlebeam, duck, Kevan, Matt, orkboi, pokes, Sinq, Sphinx"
2017-07,12,3,86,"Axemabaro, card, Cpt_Koen, Cuddlebeam, derrick, Dewaldo, Kevan, Maldor, orkboi, pokes, Sphinx, Thunder"
2017-08,9,1,63,"card, Cuddlebeam, derrick, Dewaldo, Kevan, Maldor, pokes, Sesquipedalian, Thunder"
2017-09,16,4,73,"Axemabaro, card, Cuddlebeam, Darknight, derrick, Gaelan, Kevan, Maldor, pokes, Rover1, Semiel, Sesquipedalian, Sylphrena, Thunder, Trigon, VJRada"
2017-10,9,2,51,"Arsaces, Axemabaro, card, Cuddlebeam, derrick, fourliberties, Maldor, pokes, Trigon"
2017-11,8,2,63,"Axemabaro, card, Cuddlebeam, derrick, Diabecko, Grynk, pokes, Trigon"
2017-12,9,2,54,"ATMunn, Axemabaro, card, Cuddlebeam, Diabecko, Grynk, Kevan, PineTreeQ, pokes"
2018-01,9,1,72,"Axemabaro, card, Cuddlebeam, derrick, Diabecko, Kevan, PineTreeQ, pokes, samzeman"
2018-02,8,1,68,"card, Cuddlebeam, Diabecko, Foolish Mortal, HugBeam, Kevan, pokes, samzeman"
2018-03,11,1,61,"Axemabaro, card, Cuddlebeam, Diabecko, ElMarko, Foolish Mortal, Grynk, Kevan, nqeron, pokes, Thunder"
2018-04,8,1,13,"card, Corona, Cuddlebeam, Diabecko, Kevan, nqeron, pokes, Thunder"
2018-05,15,3,99,"Axemabaro, Brendan, card, Corona, Cpt_Koen, Cuddlebeam, derrick, Dewaldo, ElMarko, Jumble, Kevan, Maris, pokes, Stoneworth, Thunder"
2018-06,11,2,74,"9spaceking, Axemabaro, Brendan, card, Corona, Cuddlebeam, derrick, Kevan, LinkVanyali, Trigon, VJRada"
2018-07,9,2,60,"9spaceking, Brendan, card, causticAnalysis, Corona, derrick, Jumble, Kevan, Pseudo-Climacus"
2018-08,11,0,62,"9spaceking, Axemabaro, Brendan, card, Cuddlebeam, derrick, Jumble, Kevan, pokes, Quincunx, Trigon"
2018-09,10,1,67,"9spaceking, Axemabaro, Brendan, card, Cuddlebeam, derrick, Josh, Jumble, Kevan, Zaphod"
2018-10,8,0,50,"9spaceking, Brendan, card, derrick, Kevan, pokes, Trigon, Zaphod"
2018-11,7,1,50,"Brendan, derrick, Jacob, Kevan, pokes, Purplebeard, Trigon"
2018-12,11,3,28,"Brendan, Cuddlebeam, derrick, Diabecko, edelopo, Kevan, naught, pokes, StripedMaple, Trigon, Zaphod"
2019-01,8,1,46,"Allo, derrick, Kevan, naught, pokes, ShareDVI, Trigon, Zaphod"
2019-02,10,1,41,"9spaceking, Allo, derrick, Kevan, Luther&Locke, naught, Oracular rufio, pokes, Trigon, Zaphod"
2019-03,7,0,29,"card, derrick, naught, Oracular rufio, pokes, Trigon, Zaphod"
2019-04,7,0,37,"card, derrick, Kevan, naught, Purplebeard, Trigon, Zaphod"
2019-05,9,2,58,"9spaceking, Axemabaro, card, derrick, Farsight, Kevan, naught, pokes, ubq323"
2019-06,10,2,60,"Brendan, card, derrick, Farsight, Ienpw III, Kaia, Kevan, naught, pokes, TyGuy6"
2019-07,13,0,72,"Brendan, card, Cuddlebeam, derrick, Farsight, Ienpw III, Kaia, Kevan, naught, pokes, Quincunx, Thunder, TyGuy6"
2019-08,9,0,47,"card, derrick, Farsight, Ienpw III, Kevan, pokes, Thunder, TyGuy6, ubq323"
2019-09,9,1,51,"Astimageon, Axemabaro, Brendan, Farsight, Kaia, Kevan, pokes, Thunder, TyGuy6"
2019-10,7,1,64,"3Balance, Brendan, Cuddlebeam, Farsight, Kevan, pokes, TyGuy6"
2019-11,7,1,109,"75th Trombone, card, Cuddlebeam, Farsight, Kevan, The Duke of Waltham, TyGuy6"
2019-12,8,0,36,"card, Cuddlebeam, Farsight, Kevan, NoOneImportant, pokes, The Duke of Waltham, TyGuy6"
2020-01,12,1,123,"Brendan, card, Cuddlebeam, Darknight, derrick, ElFerde, Josh, Jumble, Kevan, Tantusar, The Duke of Waltham, TyGuy6"
2020-02,13,1,64,"Avilva, Brendan, card, Cuddlebeam, derrick, Farsight, Josh, Jumble, Kevan, naught, pokes, Tantusar, The Duke of Waltham"
2020-03,14,3,75,"Brendan, card, Clucky, Cuddlebeam, Farsight, JimothyFromTLTT, Josh, Kevan, naught, Ninja, pencilgame, pokes, Tantusar, TyGuy6"
2020-04,11,0,47,"Brendan, Clucky, JimothyFromTLTT, Josh, Jumble, Kevan, naught, pencilgame, pokes, Tantusar, Trigon"
2020-05,17,1,91,"75th Trombone, ais523, Axemabaro, ayesdeeef, Clucky, Darknight, derrick, Josh, Jumble, Kevan, Marco Sulla, naught, pokes, Publius Scribonius Scholasticus, Tantusar, The Duke of Waltham, Trigon"
2020-06,16,2,61,"75th Trombone, ais523, Axemabaro, ayesdeeef, Clucky, Josh, Jumble, Kevan, Marco Sulla, pokes, Publius Scribonius Scholasticus, Rebecca Lee, Seventy-Fifth Trombone, Tantusar, Trigon, Zyborg"
2020-07,9,2,35,"Cuddlebeam, FamilyMan, Josh, Jumble, Kaia, Kevan, pokes, Raven1207, Zyborg"
2020-08,11,3,98,"Aname, Bais, Cuddlebeam, derrick, Josh, Jumble, Kevan, Raven1207, Riggdan, Tofuna, Zyborg"
2020-09,15,0,96,"9spaceking, Bais, Brendan, card, Clucky, Cuddlebeam, derrick, Josh, Jumble, Kevan, pokes, Raven1207, Tantusar, Tofuna, Vovix"
2020-10,16,3,74,"9spaceking, Bais, Brendan, Bucky, card, Clucky, Cuddlebeam, derrick, Great_Guy96, Josh, Jumble, Kevan, pokes, Raven1207, robotabc773, Sylav"
2020-11,13,2,47,"Bais, Bucky, Clucky, Coderblaze, Darknight, Josh, Kevan, lendunistus, Maris, pokes, Raven1207, robotabc773, Sylav"
2020-12,8,0,44,"Bucky, Coderblaze, Josh, Kevan, lendunistus, pokes, Raven1207, robotabc773"
2021-01,9,9,78,"Brendan, Bucky, Clucky, Coderblaze, Josh, Jumble, Kevan, pokes, Raven1207"
2021-02,12,3,72,"Brendan, Bucky, Clucky, Coderblaze, Cuddlebeam, Josh, Jumble, Kevan, pokes, Raven1207, Vovix, Zack"
2021-03,11,1,139,"Brendan, Bucky, Clucky, Cuddlebeam, Josh, Jumble, Kevan, lemon, pokes, Raven1207, Zack"
2021-04,14,5,101,"90000, Bais, Brendan, Casio, Clucky, Jason, Josh, Jumble, Kevan, lemon, pokes, Raven1207, SylkWeaver, Zack"
2021-05,12,3,67,"Clucky, Jason, Josh, Jumble, Kevan, lemon, pokes, Raven1207, SupernovaStarbright, Tofuna, Trapdoorspyder, Zack"
2021-06,14,4,128,"ais523, Brendan, Chiiika, Clucky, Darknight, Jason, Josh, Jumble, Kevan, lemon, Phil, pokes, Raven1207, Zack"
2021-07,11,0,115,"ais523, Brendan, Chiiika, Clucky, Jason, Josh, Jumble, Kevan, lemon, Phil, Trapdoorspyder"
2021-08,17,2,145,"ais523, Brendan, Bucky, Chiiika, Clucky, Cuddlebeam, Darknight, dead. The player named Clucky has achieved victory, Jason, Josh, Jumble, Kevan, lemon, Raven1207, Tantusar, Trapdoorspyder, Vovix"
2021-09,15,2,115,"Brendan, Clucky, Cuddlebeam, Darknight, Josh, Jumble, Kevan, lemon, pokes, redtara, SupernovaStarbright, Tantusar, Trapdoorspyder, utina, Zack"
2021-10,17,3,123,"Axemabaro, Brendan, Chiiika, Clucky, Cuddlebeam, Josh, Jumble, Kevan, lemon, pokes, Raven1207, redtara, Silverwing, Trapdoorspyder, TyGuy6, Vovix, Zack"
2021-11,15,1,86,"arthexis, Brendan, Chiiika, Clucky, Darknight, Josh, Jumble, Kevan, lemon, pokes, Raven1207, redtara, Silverwing, Trapdoorspyder, TyGuy6"
2021-12,17,2,85,"arthexis, ATMunn, Brendan, Clucky, Darknight, Jason, Josh, Jumble, Kevan, lemon, pokes, Raven1207, redtara, SupernovaStarbright, Tempo, Trapdoorspyder, TyGuy6"
2022-01,15,2,112,"Brendan, Chiiika, Clucky, Darknight, Josh, Jumble, Kevan, lemon, lendunistus, redtara, Silverwing, SupernovaStarbright, Tech, TyGuy6, Zack"

